network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,direction_label
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_001,Umbrella Sales,Rain,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_002,Visibility,Road Safety,docx_llm_survey_v1,edge_based,1
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_003,Umbrella Sales,Visibility,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_004,Surface Water,Speed Limit,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_005,Umbrella Sales,Surface Water,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_006,Surface Water,School Route,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_007,Umbrella Sales,Speed Limit,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_008,Surface Water,Cycle Lanes,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_009,Umbrella Sales,School Route,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_010,Surface Water,Number of Car Crashes,docx_llm_survey_v1,edge_based,1
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_011,Umbrella Sales,Cycle Lanes,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_012,Surface Water,Number of Fatalities,docx_llm_survey_v1,edge_based,0
road_safety,Road Safety,2.10,ChatGPT 4.0,llm_simulated_expert,run_001,road_safety_pair_013,Umbrella Sales,Number of Car Crashes,docx_llm_survey_v1,edge_based,0
